--- SimLex-999 Data Inspection ---
Total pairs available: 983

Top 100 Most Similar Pairs:
vanish - disappear: 0.9800
quick - rapid: 0.9700
creator - maker: 0.9620
stupid - dumb: 0.9580
insane - crazy: 0.9570
happy - cheerful: 0.9550
large - big: 0.9550
cow - cattle: 0.9520
large - huge: 0.9470
area - region: 0.9470
simple - easy: 0.9400
bizarre - strange: 0.9370
student - pupil: 0.9350
attorney - lawyer: 0.9350
occur - happen: 0.9320
hallway - corridor: 0.9280
teacher - instructor: 0.9250
inform - notify: 0.9250
smart - intelligent: 0.9200
weird - odd: 0.9200
taxi - cab: 0.9200
happy - glad: 0.9170
scarce - rare: 0.9170
drizzle - rain: 0.9170
protect - defend: 0.9130
boundary - border: 0.9080
plead - beg: 0.9080
declare - announce: 0.9080
cop - sheriff: 0.9050
adversary - opponent: 0.9050
strange - odd: 0.9020
business - company: 0.9020
pact - agreement: 0.9020
corporation - business: 0.9020
victory - triumph: 0.8980
essential - necessary: 0.8970
abundance - plenty: 0.8970
weird - strange: 0.8930
physician - doctor: 0.8880
journey - trip: 0.8880
movie - film: 0.8870
task - job: 0.8870
decide - choose: 0.8870
shore - coast: 0.8830
roam - wander: 0.8830
crucial - important: 0.8820
acquire - get: 0.8820
contemplate - think: 0.8820
friend - buddy: 0.8780
heroine - hero: 0.8780
danger - threat: 0.8780
hard - difficult: 0.8770
fast - rapid: 0.8750
inspect - examine: 0.8750
anger - fury: 0.8730
champion - winner: 0.8730
attention - awareness: 0.8730
locate - find: 0.8730
inexpensive - cheap: 0.8720
create - make: 0.8720
assignment - task: 0.8700
delightful - wonderful: 0.8650
alcohol - gin: 0.8650
motor - engine: 0.8650
buddy - companion: 0.8650
wonderful - terrific: 0.8630
bubble - suds: 0.8570
achieve - accomplish: 0.8570
acquire - obtain: 0.8570
crib - cradle: 0.8550
style - fashion: 0.8500
noticeable - obvious: 0.8480
aggression - hostility: 0.8480
create - build: 0.8480
explore - discover: 0.8480
apparent - obvious: 0.8470
pretend - imagine: 0.8470
bad - awful: 0.8420
certain - sure: 0.8420
sheep - lamb: 0.8420
horse - mare: 0.8330
beach - seashore: 0.8330
area - zone: 0.8330
couple - pair: 0.8330
purse - bag: 0.8330
make - construct: 0.8330
clarify - explain: 0.8330
confident - sure: 0.8270
sea - ocean: 0.8270
orthodontist - dentist: 0.8270
keep - possess: 0.8270
expand - grow: 0.8270
arrange - organize: 0.8270
dreary - dull: 0.8250
think - rationalize: 0.8250
begin - originate: 0.8200
harsh - cruel: 0.8180
aviation - flight: 0.8180
proclaim - announce: 0.8180
motel - inn: 0.8170

Top 100 Least Similar Pairs:
shrink - grow: 0.0230
container - mouse: 0.0300
princess - island: 0.0300
ankle - window: 0.0300
cliff - tail: 0.0300
gun - fur: 0.0300
chapter - tail: 0.0300
island - task: 0.0300
hole - agreement: 0.0300
dirty - narrow: 0.0300
bad - great: 0.0350
remind - sell: 0.0400
ignore - explore: 0.0400
log - bath: 0.0400
bicycle - bedroom: 0.0400
stomach - bedroom: 0.0400
bath - balloon: 0.0400
rice - boy: 0.0400
wife - straw: 0.0400
dentist - colonel: 0.0400
hymn - straw: 0.0400
liquor - century: 0.0400
cent - size: 0.0400
flower - endurance: 0.0400
endurance - band: 0.0400
belief - flower: 0.0400
absence - presence: 0.0400
fresh - wide: 0.0400
terrific - mad: 0.0400
bowl - tail: 0.0480
deck - mouse: 0.0480
camera - president: 0.0480
bath - wife: 0.0480
gun - trick: 0.0480
night - chapter: 0.0480
task - highway: 0.0480
mouse - management: 0.0480
presence - door: 0.0480
doctor - temper: 0.0480
condition - boy: 0.0480
trick - size: 0.0480
chapter - choice: 0.0480
large - flexible: 0.0480
huge - dumb: 0.0480
dumb - rare: 0.0480
give - steal: 0.0500
easy - tough: 0.0520
spend - save: 0.0550
dull - funny: 0.0550
smart - dumb: 0.0550
apple - sunshine: 0.0580
woman - fur: 0.0580
course - stomach: 0.0580
cent - wife: 0.0580
bath - trick: 0.0580
sly - tough: 0.0580
easy - difficult: 0.0580
tiny - huge: 0.0600
sharp - dull: 0.0600
create - destroy: 0.0630
forget - retain: 0.0630
unnecessary - necessary: 0.0630
bad - terrific: 0.0650
nice - cruel: 0.0670
enter - owe: 0.0680
worker - camera: 0.0680
liquor - band: 0.0680
hole - wife: 0.0680
pollution - president: 0.0680
task - straw: 0.0680
task - woman: 0.0680
fraternity - door: 0.0680
hymn - conquest: 0.0680
bottom - top: 0.0700
weird - normal: 0.0720
modern - ancient: 0.0730
dumb - intelligent: 0.0750
lose - get: 0.0770
find - disappear: 0.0770
agree - argue: 0.0770
portray - notify: 0.0780
pupil - president: 0.0780
succeed - fail: 0.0830
accept - reject: 0.0830
remind - forget: 0.0870
car - hose: 0.0870
difficult - simple: 0.0870
old - fresh: 0.0870
give - know: 0.0880
couch - baseball: 0.0880
fraternity - baseball: 0.0880
forget - know: 0.0920
destroy - construct: 0.0920
bed - hospital: 0.0920
leave - enter: 0.0950
car - bridge: 0.0950
sad - funny: 0.0950
happy - mad: 0.0950
hard - easy: 0.0950
go - sell: 0.0970
