--- THINGS Data Inspection ---
Total pairs available: 10749

Top 100 Most Similar Pairs:
mongoose - rhinoceros: 0.9875
mongooses - rhinoceros: 0.9875
chipmunk - koala: 0.9873
chipmunks - koalas: 0.9873
mongoose - possum: 0.9775
mongooses - possums: 0.9775
baklava - stew: 0.9765
coyote - weasel: 0.9758
coyotes - weasels: 0.9758
gyro - nacho: 0.9744
boar - yak: 0.9739
boars - yaks: 0.9739
gazelle - hedgehog: 0.9724
gazelles - hedgehogs: 0.9724
casserole - pastry: 0.9722
casseroles - pastries: 0.9722
alpaca - gazelle: 0.9711
alpacas - gazelles: 0.9711
pasta - spaghetti: 0.9710
quiche - waffle: 0.9685
prune - raisin: 0.9672
prunes - raisins: 0.9672
duckling - skunk: 0.9668
ducklings - skunks: 0.9668
fox - llama: 0.9658
foxes - llamas: 0.9658
trombone - tuba: 0.9655
trombones - tubas: 0.9655
bee - wasp: 0.9652
bees - wasps: 0.9652
antelope - hippopotamus: 0.9632
antelopes - hippopotamus: 0.9632
croissant - pancake: 0.9628
croissants - pancakes: 0.9628
oatmeal - tortilla: 0.9618
mongoose - moose: 0.9616
mongooses - moose: 0.9616
cookie - sandwich: 0.9608
cookies - sandwiches: 0.9608
curry - sushi: 0.9604
grits - noodle: 0.9596
grits - noodles: 0.9596
lime - zucchini: 0.9591
nacho - spaghetti: 0.9570
garlic - potato: 0.9567
lasagna - wrap: 0.9556
calamari - crepe: 0.9533
bread - gyro: 0.9531
bread - gyros: 0.9531
blueberry - macadamia: 0.9529
jam - mousse: 0.9512
hash - pie: 0.9508
hashes - pies: 0.9508
cougar - turtle: 0.9499
cougars - turtles: 0.9499
cheeseburger - muffin: 0.9493
enchiladas - hashes: 0.9492
cheetah - turtle: 0.9484
cheetahs - turtles: 0.9484
casserole - hummus: 0.9473
casseroles - hummus: 0.9473
pie - stuffing: 0.9469
fish - stingray: 0.9419
fish - stingrays: 0.9419
printer - seismograph: 0.9414
puppy - rhinoceros: 0.9410
puppies - rhinoceros: 0.9410
orangutan - porcupine: 0.9409
orangutans - porcupines: 0.9409
dolphin - pelican: 0.9392
dolphins - pelicans: 0.9392
hummus - scallop: 0.9391
hummus - scallops: 0.9391
lasagna - sauerkraut: 0.9384
iguana - orangutan: 0.9373
iguanas - orangutans: 0.9373
sweater - tie: 0.9362
sweaters - ties: 0.9362
basil - cucumber: 0.9358
blackberry - pineapple: 0.9339
blackberries - pineapples: 0.9339
patty - souffle: 0.9339
coat - hoodie: 0.9337
coats - hoodies: 0.9337
burrito - guacamole: 0.9331
hummus - waffle: 0.9320
hummus - waffles: 0.9320
kiwi - okra: 0.9308
bark - wood: 0.9305
barks - wood: 0.9305
boat - hovercraft: 0.9302
boats - hovercraft: 0.9302
duck - ostrich: 0.9293
ducks - ostriches: 0.9293
map - photograph: 0.9283
maps - photographs: 0.9283
cereal - sandwich: 0.9259
cereals - sandwiches: 0.9259
corset - tie: 0.9258
corsets - ties: 0.9258

Top 100 Least Similar Pairs:
fast-food - scaffolding: 0.5189
notebooks - raccoons: 0.5190
notebook - raccoon: 0.5190
diskettes - hyenas: 0.5200
diskette - hyena: 0.5200
gems - hyenas: 0.5216
gem - hyena: 0.5216
doorknob - okra: 0.5220
hubcap - tiramisu: 0.5238
fishhook - salad: 0.5244
ladders - tigers: 0.5246
ladder - tiger: 0.5246
thermostats - warthogs: 0.5249
thermostat - warthog: 0.5249
hyenas - microwaves: 0.5253
hyena - microwave: 0.5253
gorillas - sandbags: 0.5255
gorilla - sandbag: 0.5255
pianos - rats: 0.5256
piano - rat: 0.5256
ladders - toads: 0.5261
ladder - toad: 0.5261
rabbits - shelves: 0.5265
rabbit - shelf: 0.5265
mails - warthogs: 0.5272
mail - warthog: 0.5272
artichoke - vise: 0.5273
otters - scanners: 0.5275
otter - scanner: 0.5275
coleslaw - diskette: 0.5277
guns - peas: 0.5282
gun - pea: 0.5282
handcuff - macadamia: 0.5283
mangoes - missiles: 0.5283
mango - missile: 0.5283
crabs - videocassettes: 0.5288
crab - videocassette: 0.5288
funnels - rhinoceros: 0.5289
funnel - rhinoceros: 0.5289
meerkat - odometer: 0.5289
odometer - sloth: 0.5289
panther - peppermint: 0.5293
coyotes - suitcases: 0.5294
coyote - suitcase: 0.5294
grits - pianos: 0.5297
grits - piano: 0.5297
cabbages - computers: 0.5299
cabbage - computer: 0.5299
crepes - grenades: 0.5303
crepe - grenade: 0.5303
showers - wasps: 0.5304
shower - wasp: 0.5304
dishwashers - otters: 0.5305
dishwasher - otter: 0.5305
orange - scaffolding: 0.5305
hippopotamus - typewriters: 0.5306
hippopotamus - typewriter: 0.5306
cougar - stapler: 0.5307
chinchilla - chisel: 0.5307
candies - guns: 0.5307
candy - gun: 0.5307
casseroles - syringes: 0.5307
casserole - syringe: 0.5307
ambulances - ferrets: 0.5308
ambulance - ferret: 0.5308
guns - pancakes: 0.5311
gun - pancake: 0.5311
boar - inkwell: 0.5311
gumball - ladder: 0.5311
diskettes - mongooses: 0.5313
diskette - mongoose: 0.5313
calculators - cats: 0.5314
calculator - cat: 0.5314
cats - scanners: 0.5314
cat - scanner: 0.5314
kiwis - ladders: 0.5317
kiwi - ladder: 0.5317
pigs - staples: 0.5317
pig - staple: 0.5317
gorillas - needles: 0.5320
gorilla - needle: 0.5320
amplifiers - pelicans: 0.5321
amplifier - pelican: 0.5321
tablets - tigers: 0.5322
tablet - tiger: 0.5322
cranberries - revolvers: 0.5323
cranberry - revolver: 0.5323
ambulance - celery: 0.5323
furnaces - monkeys: 0.5325
furnace - monkey: 0.5325
ovens - pandas: 0.5327
oven - panda: 0.5327
coffee-table - monkey: 0.5329
thumbtacks - wolves: 0.5330
bombs - scones: 0.5330
bomb - scone: 0.5330
bulls - dryers: 0.5333
bull - dryer: 0.5333
arrow - fast-food: 0.5335
anchors - yolks: 0.5336
