--- WordSim353 Data Inspection ---
Total pairs available: 601

Top 100 Most Similar Pairs:
tiger - tiger: 1.0000
tigers - tigers: 1.0000
money - cash: 0.9538
money - cash: 0.9077
car - automobile: 0.9000
cars - automobiles: 0.9000
journey - voyage: 0.9000
journeys - voyages: 0.9000
coast - shore: 0.8846
coasts - shores: 0.8846
dollar - buck: 0.8846
dollars - bucks: 0.8846
midday - noon: 0.8786
football - soccer: 0.8615
street - avenue: 0.8615
streets - avenues: 0.8615
gem - jewel: 0.8385
gems - jewels: 0.8385
money - currency: 0.8231
money - currencies: 0.8231
asylum - madhouse: 0.8154
boy - lad: 0.8000
boys - lads: 0.8000
magician - wizard: 0.8000
magicians - wizards: 0.8000
fuck - sex: 0.7929
fucks - sexes: 0.7929
calculation - computation: 0.7857
calculations - computations: 0.7857
seafood - lobster: 0.7846
nature - environment: 0.7714
natures - environments: 0.7714
liquid - water: 0.7538
liquids - water: 0.7538
furnace - stove: 0.7462
furnaces - stoves: 0.7462
championship - tournament: 0.7308
championships - tournaments: 0.7308
wood - forest: 0.7214
wood - forests: 0.7214
murder - manslaughter: 0.7200
cell - phone: 0.7143
cells - phones: 0.7143
announcement - news: 0.7077
announcements - news: 0.7077
tiger - animal: 0.6846
tigers - animals: 0.6846
tiger - cat: 0.6846
tigers - cats: 0.6846
problem - challenge: 0.6538
problems - challenges: 0.6538
type - kind: 0.6538
types - kinds: 0.6538
announcement - warning: 0.6462
announcements - warnings: 0.6462
listing - category: 0.6385
listings - categories: 0.6385
money - wealth: 0.6357
aluminum - metal: 0.6286
money - dollar: 0.6286
money - dollars: 0.6286
dividend - payment: 0.6231
dividends - payments: 0.6231
bishop - rabbi: 0.6154
bishops - rabbis: 0.6154
tiger - carnivore: 0.6154
tigers - carnivores: 0.6154
news - report: 0.6143
news - reports: 0.6143
environment - ecology: 0.6133
environments - ecologies: 0.6133
love - sex: 0.6000
love - sexes: 0.6000
media - radio: 0.6000
medias - radios: 0.6000
street - block: 0.6000
streets - blocks: 0.6000
seafood - food: 0.5933
tiger - mammal: 0.5923
tigers - mammals: 0.5923
food - fruit: 0.5857
foods - fruits: 0.5857
admission - ticket: 0.5846
admissions - tickets: 0.5846
movie - theater: 0.5846
movies - theaters: 0.5846
brother - monk: 0.5769
brothers - monks: 0.5769
psychology - psychiatry: 0.5714
arrangement - accommodation: 0.5643
arrangements - accommodations: 0.5643
street - place: 0.5538
streets - places: 0.5538
vodka - gin: 0.5500
vodkas - gins: 0.5500
deployment - departure: 0.5429
deployments - departures: 0.5429
cup - tableware: 0.5385
bird - crane: 0.5357
birds - cranes: 0.5357

Top 100 Least Similar Pairs:
drinks - ears: 0.0077
drink - ear: 0.0077
professors - cucumbers: 0.0154
professor - cucumber: 0.0154
sugar - approaches: 0.0214
sugar - approach: 0.0214
drinks - mothers: 0.0267
drink - mother: 0.0267
delay - racism: 0.0267
streets - children: 0.0286
street - children: 0.0286
roosters - voyages: 0.0308
rooster - voyage: 0.0308
fives - months: 0.0308
five - month: 0.0308
drinks - cars: 0.0308
drink - car: 0.0308
kings - cabbages: 0.0385
king - cabbage: 0.0385
opera - industries: 0.0400
opera - industry: 0.0400
centuries - nations: 0.0429
century - nation: 0.0429
spaces - chemistry: 0.0462
space - chemistry: 0.0462
stocks - jaguars: 0.0533
stock - jaguar: 0.0533
glass - magicians: 0.0538
glass - magician: 0.0538
medias - gains: 0.0571
media - gain: 0.0571
governors - interviews: 0.0571
governor - interview: 0.0571
precedents - groups: 0.0615
precedent - group: 0.0615
noon - string: 0.0615
chords - smiles: 0.0615
chord - smile: 0.0615
cups - articles: 0.0667
cup - article: 0.0667
directions - combinations: 0.0692
direction - combination: 0.0692
deaths - rows: 0.0692
death - row: 0.0692
cars - flights: 0.0692
car - flight: 0.0692
reason - hypertension: 0.0714
productions - hikes: 0.0769
production - hike: 0.0769
energies - secretaries: 0.0769
energy - secretary: 0.0769
deaths - inmates: 0.0769
death - inmate: 0.0769
viewers - serials: 0.0786
viewer - serial: 0.0786
possibilities - girls: 0.0846
possibility - girl: 0.0846
words - similarities: 0.0923
word - similarity: 0.0923
skins - eyes: 0.0923
skin - eye: 0.0923
lovers - quarrels: 0.0923
lover - quarrel: 0.0923
problems - airports: 0.0929
problem - airport: 0.0929
forests - graveyards: 0.1000
forest - graveyard: 0.1000
months - hotels: 0.1067
month - hotel: 0.1067
arrivals - hotels: 0.1067
arrival - hotel: 0.1067
lads - wizards: 0.1071
lad - wizard: 0.1071
delays - news: 0.1071
delay - news: 0.1071
architectures - centuries: 0.1071
architecture - century: 0.1071
boards - recommendations: 0.1077
board - recommendation: 0.1077
volunteers - mottoes: 0.1143
volunteer - motto: 0.1143
line - insurance: 0.1143
peace - plan: 0.1154
focus - lives: 0.1154
focus - life: 0.1154
cups - substances: 0.1154
cup - substance: 0.1154
alcohols - chemistry: 0.1154
alcohol - chemistry: 0.1154
territories - kilometers: 0.1200
territory - kilometer: 0.1200
stocks - lives: 0.1200
stock - life: 0.1200
holies - sexes: 0.1200
holy - sex: 0.1200
consumers - confidences: 0.1200
consumer - confidence: 0.1200
students - professors: 0.1214
student - professor: 0.1214
signs - recess: 0.1231
